# x y z c
0.732688 1.473784 -0.92 0.74
0.815488 1.490816 -0.92 0.76
0.900496 1.506024 -0.92 0.78
0.987712 1.51936 -0.92 0.8
1.077136 1.530776 -0.92 0.82
1.168768 1.540224 -0.92 0.84
1.262608 1.547656 -0.92 0.86
1.358656 1.553024 -0.92 0.88
1.456912 1.55628 -0.92 0.9
1.557376 1.557376 -0.92 0.92
1.660048 1.556264 -0.92 0.94
1.764928 1.552896 -0.92 0.96
1.872016 1.547224 -0.92 0.98
1.981312 1.5392 -0.92 1.0

1.971 -1.43 -0.9 -1
1.86408 -1.440208 -0.9 -0.98
1.75932 -1.448064 -0.9 -0.96
1.65672 -1.453616 -0.9 -0.94
1.55628 -1.456912 -0.9 -0.92
1.458 -1.458 -0.9 -0.9
1.36188 -1.456928 -0.9 -0.88
1.26792 -1.453744 -0.9 -0.86
1.17612 -1.448496 -0.9 -0.84
1.08648 -1.441232 -0.9 -0.82
0.999 -1.432 -0.9 -0.8
0.91368 -1.420848 -0.9 -0.78
0.83052 -1.407824 -0.9 -0.76
0.74952 -1.392976 -0.9 -0.74
0.67068 -1.376352 -0.9 -0.72
0.594 -1.358 -0.9 -0.7
0.51948 -1.337968 -0.9 -0.68
0.44712 -1.316304 -0.9 -0.66
0.37692 -1.293056 -0.9 -0.64
0.30888 -1.268272 -0.9 -0.62
0.243 -1.242 -0.9 -0.6
0.17928 -1.214288 -0.9 -0.58
0.11772 -1.185184 -0.9 -0.56
0.05832 -1.154736 -0.9 -0.54
0.00108 -1.122992 -0.9 -0.52
-0.054 -1.09 -0.9 -0.5
-0.10692 -1.055808 -0.9 -0.48
-0.15768 -1.020464 -0.9 -0.46
-0.20628 -0.984016 -0.9 -0.44
-0.25272 -0.946512 -0.9 -0.42
-0.297 -0.908 -0.9 -0.4
-0.33912 -0.868528 -0.9 -0.38
-0.37908 -0.828144 -0.9 -0.36
-0.41688 -0.786896 -0.9 -0.34
-0.45252 -0.744832 -0.9 -0.32
-0.486 -0.702 -0.9 -0.3
-0.51732 -0.658448 -0.9 -0.28
-0.54648 -0.614224 -0.9 -0.26
-0.57348 -0.569376 -0.9 -0.24
-0.59832 -0.523952 -0.9 -0.22
-0.621 -0.478 -0.9 -0.2
-0.64152 -0.431568 -0.9 -0.18
-0.65988 -0.384704 -0.9 -0.16
-0.67608 -0.337456 -0.9 -0.14
-0.69012 -0.289872 -0.9 -0.12
-0.702 -0.242 -0.9 -0.1
-0.71172 -0.193888 -0.9 -0.08
-0.71928 -0.145584 -0.9 -0.06
-0.72468 -0.097136 -0.9 -0.04
-0.72792 -0.048592 -0.9 -0.02
-0.729 1.5006745846e-15 -0.9 6.17561557448e-16
-0.72792 0.048592 -0.9 0.02
-0.72468 0.097136 -0.9 0.04
-0.71928 0.145584 -0.9 0.06
-0.71172 0.193888 -0.9 0.08
-0.702 0.242 -0.9 0.1
-0.69012 0.289872 -0.9 0.12
-0.67608 0.337456 -0.9 0.14
-0.65988 0.384704 -0.9 0.16
-0.64152 0.431568 -0.9 0.18
-0.621 0.478 -0.9 0.2
-0.59832 0.523952 -0.9 0.22
-0.57348 0.569376 -0.9 0.24
-0.54648 0.614224 -0.9 0.26
-0.51732 0.658448 -0.9 0.28
-0.486 0.702 -0.9 0.3
-0.45252 0.744832 -0.9 0.32
-0.41688 0.786896 -0.9 0.34
-0.37908 0.828144 -0.9 0.36
-0.33912 0.868528 -0.9 0.38
-0.297 0.908 -0.9 0.4
-0.25272 0.946512 -0.9 0.42
-0.20628 0.984016 -0.9 0.44
-0.15768 1.020464 -0.9 0.46
-0.10692 1.055808 -0.9 0.48
-0.054 1.09 -0.9 0.5
0.00108 1.122992 -0.9 0.52
0.05832 1.154736 -0.9 0.54
0.11772 1.185184 -0.9 0.56
0.17928 1.214288 -0.9 0.58
0.243 1.242 -0.9 0.6
0.30888 1.268272 -0.9 0.62
0.37692 1.293056 -0.9 0.64
0.44712 1.316304 -0.9 0.66
0.51948 1.337968 -0.9 0.68
0.594 1.358 -0.9 0.7
0.67068 1.376352 -0.9 0.72
0.74952 1.392976 -0.9 0.74
0.83052 1.407824 -0.9 0.76
0.91368 1.420848 -0.9 0.78
0.999 1.432 -0.9 0.8
1.08648 1.441232 -0.9 0.82
1.17612 1.448496 -0.9 0.84
1.26792 1.453744 -0.9 0.86
1.36188 1.456928 -0.9 0.88
1.458 1.458 -0.9 0.9
1.55628 1.456912 -0.9 0.92
1.65672 1.453616 -0.9 0.94
1.75932 1.448064 -0.9 0.96
1.86408 1.440208 -0.9 0.98
1.971 1.43 -0.9 1.0

1.958528 -1.3232 -0.88 -1
1.853984 -1.335544 -0.88 -0.98
1.751552 -1.345536 -0.88 -0.96
1.651232 -1.353224 -0.88 -0.94
1.553024 -1.358656 -0.88 -0.92
1.456928 -1.36188 -0.88 -0.9
1.362944 -1.362944 -0.88 -0.88
1.271072 -1.361896 -0.88 -0.86
1.181312 -1.358784 -0.88 -0.84
1.093664 -1.353656 -0.88 -0.82
1.008128 -1.34656 -0.88 -0.8
0.924704 -1.337544 -0.88 -0.78
0.843392 -1.326656 -0.88 -0.76
0.764192 -1.313944 -0.88 -0.74
0.687104 -1.299456 -0.88 -0.72
0.612128 -1.28324 -0.88 -0.7
0.539264 -1.265344 -0.88 -0.68
0.468512 -1.245816 -0.88 -0.66
0.399872 -1.224704 -0.88 -0.64
0.333344 -1.202056 -0.88 -0.62
0.268928 -1.17792 -0.88 -0.6
0.206624 -1.152344 -0.88 -0.58
0.146432 -1.125376 -0.88 -0.56
0.088352 -1.097064 -0.88 -0.54
0.032384 -1.067456 -0.88 -0.52
-0.021472 -1.0366 -0.88 -0.5
-0.073216 -1.004544 -0.88 -0.48
-0.122848 -0.971336 -0.88 -0.46
-0.170368 -0.937024 -0.88 -0.44
-0.215776 -0.901656 -0.88 -0.42
-0.259072 -0.86528 -0.88 -0.4
-0.300256 -0.827944 -0.88 -0.38
-0.339328 -0.789696 -0.88 -0.36
-0.376288 -0.750584 -0.88 -0.34
-0.411136 -0.710656 -0.88 -0.32
-0.443872 -0.66996 -0.88 -0.3
-0.474496 -0.628544 -0.88 -0.28
-0.503008 -0.586456 -0.88 -0.26
-0.529408 -0.543744 -0.88 -0.24
-0.553696 -0.500456 -0.88 -0.22
-0.575872 -0.45664 -0.88 -0.2
-0.595936 -0.412344 -0.88 -0.18
-0.613888 -0.367616 -0.88 -0.16
-0.629728 -0.322504 -0.88 -0.14
-0.643456 -0.277056 -0.88 -0.12
-0.655072 -0.23132 -0.88 -0.1
-0.664576 -0.185344 -0.88 -0.08
-0.671968 -0.139176 -0.88 -0.06
-0.677248 -0.092864 -0.88 -0.04
-0.680416 -0.046456 -0.88 -0.02
-0.681472 1.43471901026e-15 -0.88 6.17561557448e-16
-0.680416 0.046456 -0.88 0.02
-0.677248 0.092864 -0.88 0.04
-0.671968 0.139176 -0.88 0.06
-0.664576 0.185344 -0.88 0.08
-0.655072 0.23132 -0.88 0.1
-0.643456 0.277056 -0.88 0.12
-0.629728 0.322504 -0.88 0.14
-0.613888 0.367616 -0.88 0.16
-0.595936 0.412344 -0.88 0.18
-0.575872 0.45664 -0.88 0.2
-0.553696 0.500456 -0.88 0.22
-0.529408 0.543744 -0.88 0.24
-0.503008 0.586456 -0.88 0.26
-0.474496 0.628544 -0.88 0.28
-0.443872 0.66996 -0.88 0.3
-0.411136 0.710656 -0.88 0.32
-0.376288 0.750584 -0.88 0.34
-0.339328 0.789696 -0.88 0.36
-0.300256 0.827944 -0.88 0.38
-0.259072 0.86528 -0.88 0.4
-0.215776 0.901656 -0.88 0.42
-0.170368 0.937024 -0.88 0.44
-0.122848 0.971336 -0.88 0.46
-0.073216 1.004544 -0.88 0.48
-0.021472 1.0366 -0.88 0.5
0.032384 1.067456 -0.88 0.52
0.088352 1.097064 -0.88 0.54
0.146432 1.125376 -0.88 0.56
0.206624 1.152344 -0.88 0.58
0.268928 1.17792 -0.88 0.6
0.333344 1.202056 -0.88 0.62
0.399872 1.224704 -0.88 0.64
0.468512 1.245816 -0.88 0.66
